MSBNK-mFam-MC01_000072,C[C@@]12[C@](CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])C[C@@]([H])(OC(C[C@@H](C)CN5C(OCC6=CC=CC=C6)=O)=C5[C@H]7C)[C@@]47[H])([H])C[C@@H](OC(C)=O)CC1,"benzyl (2aS,4S,6aS,6bS,8aS,8bR,9S,12R,14aR,15aS,15bR)-4-acetoxy-6a,8a,9,12-tetramethyl-2,2a,3,4,5,6,6a,6b,7,8,8a,8b,9,11,12,13,14a,15,15a,15b-icosahydronaphtho[2'',1'':4',5']indeno[1',2':5,6]pyrano[3,2-b]pyridine-10(1H)-carboxylate",ION_MODE POSITIVE
MSBNK-mFam-MC01_000073,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@@]3([H])C[C@@H](O)[C@]4([H])[C@H](C)[C@@H]5CC[C@H](C)CN5C(C)=O)([H])C[C@@H](O)CC1,"(22S,25S)-22,26-Acetimino-5alpha-cholestan-3beta, 16alpha-diol",ION_MODE POSITIVE
MSBNK-mFam-MC01_000074,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@@]3([H])C[C@@H](O)[C@]4([H])[C@H](C)[C@@H]5CC[C@H](C)CN5)([H])C[C@@H](O)CC1,"(22S,25S)-22,26-Epimino-5alpha-cholestan-3beta-16alpha-diol",ION_MODE POSITIVE
MSBNK-mFam-MC01_000075,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@@]3([H])C[C@@H](O)[C@]4([H])[C@H](C)[C@@H]5CC[C@H](C)CN5N=O)([H])C[C@@H](O)CC1,"(22S,25S)-22,26-Nitrosepimino-5alpha-cholestan-3beta-16alpha-diol",ION_MODE POSITIVE
MSBNK-mFam-MC01_000076,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@@]3([H])C[C@@H](O)[C@]4([H])[C@H](C)C5=NC=C(C)C=C5)([H])C[C@@H](O)CC1,"(20S)-20-(5-methyl-pyridyl-2)-5alpha-pregnan-3beta, 16alpha-diol",ION_MODE POSITIVE
MSBNK-mFam-MC01_000077,C[C@H](CN1)CC[C@H]1[C@@H](C)[C@@]2([H])[C@@H](O)C[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(22R,25S)-22,26-Epimino-5alpha-cholestan-3beta-16beta,diol",ION_MODE POSITIVE
MSBNK-mFam-MC01_000078,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@@]3([H])C[C@@H](OC(C)=O)[C@]4([H])[C@H](C)C5=NC=C(C)C=C5)([H])C[C@@H](OC(C)=O)CC1,"(3S,5S,8R,9S,10S,13S,14S,16R,17R)-10,13-dimethyl-17-((S)-1-(5-methylpyridin-2-yl)ethyl)hexadecahydro-1H-cyclopenta[a]phenanthrene-3,16-diyl diacetate",ION_MODE POSITIVE
MSBNK-mFam-MC01_000079,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@@]3([H])C[C@@H](OC(C)=O)[C@]4([H])[C@H](C)C5=NC[C@@H](C)CC5=O)([H])C[C@@H](OC(C)=O)CC1,"(3S,5S,8R,9S,10S,13S,14S,16R,17R)-10,13-dimethyl-17-((S)-1-((S)-5-methyl-3-oxo-3,4,5,6-tetrahydropyridin-2-yl)ethyl)hexadecahydro-1H-cyclopenta[a]phenanthrene-3,16-diyl diacetate",ION_MODE POSITIVE
MSBNK-mFam-MC01_000080,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@@]3([H])C[C@H](OC(C)=O)[C@]4([H])[C@H](C)[C@@H]5C(C[C@@H](C)CN5)=O)([H])C[C@@H](OC(C)=O)CC1,"(3S,5S,8R,9S,10S,13S,14S,16S,17R)-10,13-dimethyl-17-((S)-1-((2R,5R)-5-methyl-3-oxopiperidin-2-yl)ethyl)hexadecahydro-1H-cyclopenta[a]phenanthrene-3,16-diyl diacetate",ION_MODE POSITIVE
MSBNK-mFam-MC01_000081,C[C@@H](CN1)CC[C@@H]1[C@](C)(O)[C@H]2CC[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](OC(C)=O)CC[C@]5(C)[C@@]4([H])CC[C@]23C,"(3S,5S,8R,9S,10S,13S,14S,17S)-17-((R)-1-hydroxy-1-((2R,5R)-5-methylpiperidin-2-yl)ethyl)-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-3-yl acetate",ION_MODE POSITIVE
